name,url,source,vtubers,release
Aien-Jihen (Midnight ver.),https://github.com/fcjfior/holo-fi-cdn-remix/blob/main/bgm/Aien-Jihen%20(Midnight%20ver.).MP3,,,
AsuiroClearSky (Twilight ver.) Original,https://github.com/fcjfior/holo-fi-cdn-remix/blob/main/bgm/AsuiroClearSky%20(Twilight%20ver.)%20Original.MP3,,,
AsuiroClearSky（Midnight ver.）,https://github.com/fcjfior/holo-fi-cdn-remix/blob/main/bgm/AsuiroClearSky%EF%BC%88Midnight%20ver.%EF%BC%89.MP3,,,
BLUE CLAPPER (Twilight ver.) Original,https://github.com/fcjfior/holo-fi-cdn-remix/blob/main/bgm/BLUE%20CLAPPER%20(Twilight%20ver.)%20Original.MP3,,,
BLUE CLAPPER（Midnight ver.）,https://github.com/fcjfior/holo-fi-cdn-remix/blob/main/bgm/BLUE%20CLAPPER%EF%BC%88Midnight%20ver.%EF%BC%89.MP3,,,
Bluerose (Twilight ver.) Original,https://github.com/fcjfior/holo-fi-cdn-remix/blob/main/bgm/Bluerose%20(Twilight%20ver.)%20Original.MP3,,,
Caesura of Despair (Twilight ver.) Original,https://github.com/fcjfior/holo-fi-cdn-remix/blob/main/bgm/Caesura%20of%20Despair%20(Twilight%20ver.)%20Original.MP3,,,
Candy-Go-Round (Sunshine ver.),https://github.com/fcjfior/holo-fi-cdn-remix/blob/main/bgm/Candy-Go-Round%20(Sunshine%20ver.).MP3,,,
Candy-Go-Round（Midnight ver.）,https://github.com/fcjfior/holo-fi-cdn-remix/blob/main/bgm/Candy-Go-Round%EF%BC%88Midnight%20ver.%EF%BC%89.MP3,,,
DAILY DIARY (Sunshine ver.),https://github.com/fcjfior/holo-fi-cdn-remix/blob/main/bgm/DAILY%20DIARY%20(Sunshine%20ver.).MP3,,,
DAILYDIARY（Midnight ver.）,https://github.com/fcjfior/holo-fi-cdn-remix/blob/main/bgm/DAILYDIARY%EF%BC%88Midnight%20ver.%EF%BC%89.MP3,,,
Doggy god_s street(Midnight ver.),https://github.com/fcjfior/holo-fi-cdn-remix/blob/main/bgm/Doggy%20god_s%20street(Midnight%20ver.).MP3,,,
Dreaming Days（Midnight ver.）,https://github.com/fcjfior/holo-fi-cdn-remix/blob/main/bgm/Dreaming%20Days%EF%BC%88Midnight%20ver.%EF%BC%89.MP3,,,
HERE COMES HOPE (Midnight ver.),https://github.com/fcjfior/holo-fi-cdn-remix/blob/main/bgm/HERE%20COMES%20HOPE%20(Midnight%20ver.).MP3,,,
"Halloween Night, Tonight! (Twilight ver.) Original",https://github.com/fcjfior/holo-fi-cdn-remix/blob/main/bgm/Halloween%20Night%2C%20Tonight!%20(Twilight%20ver.)%20Original.MP3,,,
"Halloween Night, Tonight!（Midnight ver.）",https://github.com/fcjfior/holo-fi-cdn-remix/blob/main/bgm/Halloween%20Night%2C%20Tonight!%EF%BC%88Midnight%20ver.%EF%BC%89.MP3,,,
Heroine Audition (Sunshine ver.),https://github.com/fcjfior/holo-fi-cdn-remix/blob/main/bgm/Heroine%20Audition%20(Sunshine%20ver.).MP3,,,
High Tide (Midnight ver.),https://github.com/fcjfior/holo-fi-cdn-remix/blob/main/bgm/High%20Tide%20(Midnight%20ver.).MP3,,,
Hozukibiyori (Midnight ver.),https://github.com/fcjfior/holo-fi-cdn-remix/blob/main/bgm/Hozukibiyori%20(Midnight%20ver.).MP3,,,
Hyakka Ryoran Hanafubuki（Midnight ver.）,https://github.com/fcjfior/holo-fi-cdn-remix/blob/main/bgm/Hyakka%20Ryoran%20Hanafubuki%EF%BC%88Midnight%20ver.%EF%BC%89.MP3,,,
Kirameki Rider (Sunshine ver.),https://github.com/fcjfior/holo-fi-cdn-remix/blob/main/bgm/Kirameki%20Rider%20(Sunshine%20ver.).MP3,,,
Kirameki Rider（Midnight ver.）,https://github.com/fcjfior/holo-fi-cdn-remix/blob/main/bgm/Kirameki%20Rider%EF%BC%88Midnight%20ver.%EF%BC%89.MP3,,,
Lioness_ Pride (Twilight ver.) Original,https://github.com/fcjfior/holo-fi-cdn-remix/blob/main/bgm/Lioness_%20Pride%20(Twilight%20ver.)%20Original.MP3,,,
Lunch with me (Sunshine ver.),https://github.com/fcjfior/holo-fi-cdn-remix/blob/main/bgm/Lunch%20with%20me%20(Sunshine%20ver.).MP3,,,
MAGE OF VIOLET (Midnight ver.),https://github.com/fcjfior/holo-fi-cdn-remix/blob/main/bgm/MAGE%20OF%20VIOLET%20(Midnight%20ver.).MP3,,,
Midnight runaway (Midnight ver.),https://github.com/fcjfior/holo-fi-cdn-remix/blob/main/bgm/Midnight%20runaway%20(Midnight%20ver.).MP3,,,
PEKORANDOMBRAIN (Sunshine ver.),https://github.com/fcjfior/holo-fi-cdn-remix/blob/main/bgm/PEKORANDOMBRAIN%20(Sunshine%20ver.).MP3,,,
Plasmagic Seasons! (Sunshine ver.),https://github.com/fcjfior/holo-fi-cdn-remix/blob/main/bgm/Plasmagic%20Seasons!%20(Sunshine%20ver.).MP3,,,
Play Dice! (Midnight ver.),https://github.com/fcjfior/holo-fi-cdn-remix/blob/main/bgm/Play%20Dice!%20(Midnight%20ver.).MP3,,,
Precious Photographs（Midnight ver.）,https://github.com/fcjfior/holo-fi-cdn-remix/blob/main/bgm/Precious%20Photographs%EF%BC%88Midnight%20ver.%EF%BC%89.MP3,,,
SHIJOSHUGI ADTRUCK（Midnight ver.）,https://github.com/fcjfior/holo-fi-cdn-remix/blob/main/bgm/SHIJOSHUGI%20ADTRUCK%EF%BC%88Midnight%20ver.%EF%BC%89.MP3,,,
SPARKS (Midnight ver.),https://github.com/fcjfior/holo-fi-cdn-remix/blob/main/bgm/SPARKS%20(Midnight%20ver.).MP3,,,
STARDUST SONG (Twilight ver.) Original,https://github.com/fcjfior/holo-fi-cdn-remix/blob/main/bgm/STARDUST%20SONG%20(Twilight%20ver.)%20Original.MP3,,,
STARDUST SONG（Midnight ver.）,https://github.com/fcjfior/holo-fi-cdn-remix/blob/main/bgm/STARDUST%20SONG%EF%BC%88Midnight%20ver.%EF%BC%89.MP3,,,
Say!Fanfare! (Sunshine ver.),https://github.com/fcjfior/holo-fi-cdn-remix/blob/main/bgm/Say!Fanfare!%20(Sunshine%20ver.).MP3,,,
Shiny Smily Story（Daybreak ver.）,https://github.com/fcjfior/holo-fi-cdn-remix/blob/main/bgm/Shiny%20Smily%20Story%EF%BC%88Daybreak%20ver.%EF%BC%89.MP3,,,
Shiny Smily Story（Midnight ver.）,https://github.com/fcjfior/holo-fi-cdn-remix/blob/main/bgm/Shiny%20Smily%20Story%EF%BC%88Midnight%20ver.%EF%BC%89.MP3,,,
Smile & Go!! (Sunshine ver.),https://github.com/fcjfior/holo-fi-cdn-remix/blob/main/bgm/Smile%20%26%20Go!!%20(Sunshine%20ver.).MP3,,,
Stellar Stellar（Daybreak ver.）,https://github.com/fcjfior/holo-fi-cdn-remix/blob/main/bgm/Stellar%20Stellar%EF%BC%88Daybreak%20ver.%EF%BC%89.MP3,,,
Suspect（Midnight ver.）,https://github.com/fcjfior/holo-fi-cdn-remix/blob/main/bgm/Suspect%EF%BC%88Midnight%20ver.%EF%BC%89.MP3,,,
TEMPLATE (Midnight ver.),https://github.com/fcjfior/holo-fi-cdn-remix/blob/main/bgm/TEMPLATE%20(Midnight%20ver.).MP3,,,
Tokusya-Seizon Wonder-la-der!! (Twilight ver.) Original,https://github.com/fcjfior/holo-fi-cdn-remix/blob/main/bgm/Tokusya-Seizon%20Wonder-la-der!!%20(Twilight%20ver.)%20Original.MP3,,,
Unison (Midnight ver.),https://github.com/fcjfior/holo-fi-cdn-remix/blob/main/bgm/Unison%20(Midnight%20ver.).MP3,,,
